data,campeonatoAno,ginasio,fase,timeCasa,pontosTimeCasa,acertos3PtsTimeCasa,acertos2PtsTimeCasa,LanceLivreTimeCasa,rebotesTimeCasa,assistsTimeCasa,RoubadasTimeCasa,TocosTimeCasa,FaltasTimeCasa,timeFora,pontosTimeFora,acertos3PtsTimeFora,acertos2PtsTimeFora,LanceLivreTimeFora,rebotesTimeFora,assistsTimeFora,RoubadasTimeFora,TocosTimeFora,FaltasTimeFora
15/02/2018,2017/2018,Arena UniBH                                    ,2º TURNO,Minas,66,6,17,14,35,20,4,5,21,Bauru,81,14,14,11,41,19,5,4,22
14/02/2018,2017/2018,Ginásio Gualberto Moreira                                    ,2º TURNO,L. Sorocabana,51,4,17,5,49,8,4,2,21,Joinville / AABJ ,64,7,13,17,30,12,8,3,11
07/02/2018,2017/2018,Ginásio Belin Carolo                                    ,2º TURNO,Campo Mourão,60,5,19,7,34,12,10,1,14,Pinheiros,64,5,21,7,43,21,12,1,15
14/02/2018,2017/2018,Poliesportivo H. Villaboim                                    ,2º TURNO,Pinheiros,90,8,23,20,34,17,6,2,18,Caxias do Sul,75,4,26,11,32,17,6,3,23
12/02/2018,2017/2018,Gin. Antonio Prado Jr                                    ,2º TURNO,Paulistano,73,5,19,20,41,14,5,1,21,Pinheiros,72,4,23,14,40,10,6,0,27
09/02/2018,2017/2018,Gin. Antonio Prado Jr                                    ,2º TURNO,Paulistano,84,11,18,15,47,21,6,3,22,Mogi,67,7,16,14,37,16,6,3,22
08/02/2018,2017/2018,Local não confirmado.                                    ,2º TURNO,Caxias do Sul,75,6,22,13,32,13,5,2,20,Flamengo,98,9,26,19,32,28,9,1,17
08/02/2018,2017/2018,Ginásio de São Januário                                    ,2º TURNO,Vasco da Gama,96,7,28,19,33,30,4,0,22,Basq. Cearense,92,15,15,17,31,23,5,0,22
06/02/2018,2017/2018,Centreventos Cau Hansen                                    ,2º TURNO,Joinville / AABJ ,81,,,,,,,,,Flamengo,91,,,,,,,,
08/02/2018,2017/2018,Ginásio Oscar Zelaya                                    ,2º TURNO,Botafogo,94,13,22,11,29,18,7,4,19,Vitória,74,5,21,17,39,15,4,2,17
03/02/2018,2017/2018,Ginásio Gualberto Moreira                                    ,2º TURNO,L. Sorocabana,68,5,15,23,38,12,6,2,26,Botafogo,75,9,14,20,36,12,6,2,27
08/02/2018,2017/2018,Centreventos Cau Hansen                                    ,2º TURNO,Joinville / AABJ ,66,7,18,9,44,15,9,3,24,Minas,73,10,13,17,41,14,14,1,20
07/02/2018,2017/2018,Gin. Antonio Prado Jr                                    ,2º TURNO,Paulistano,84,6,24,18,34,16,11,4,19,L. Sorocabana,59,5,17,10,34,14,7,1,27
06/02/2018,2017/2018,Sesi                                    ,2º TURNO,Caxias do Sul,71,10,14,13,30,13,7,2,20,Minas,91,15,15,16,31,23,9,4,22
06/02/2018,2017/2018,Ginásio de São Januário                                    ,2º TURNO,Vasco da Gama,85,12,17,15,29,24,9,1,21,Vitória,89,10,22,15,34,23,10,0,23
06/02/2018,2017/2018,Ginásio Oscar Zelaya                                    ,2º TURNO,Botafogo,70,5,20,15,35,15,13,5,25,Basq. Cearense,68,6,17,16,47,6,7,1,27
06/02/2018,2017/2018,Gin. Panela de Pressão                                    ,2º TURNO,Bauru,60,4,15,18,35,8,10,6,19,Sesi Franca,81,5,26,14,35,17,13,2,23
05/02/2018,2017/2018,Ginásio Belin Carolo                                    ,2º TURNO,Campo Mourão,69,9,16,10,39,16,8,2,19,Mogi,97,14,22,11,43,28,6,0,20
03/02/2018,2017/2018,Poliesportivo H. Villaboim                                    ,2º TURNO,Pinheiros,72,8,18,12,41,22,7,3,21,Vasco da Gama,76,11,13,17,32,22,6,2,20
03/02/2018,2017/2018,Arena Carioca 1                                    ,2º TURNO,Flamengo,71,7,16,18,39,14,4,3,19,Paulistano,72,9,16,13,46,16,6,3,20
02/02/2018,2017/2018,Ginásio Pedrocão                                    ,2º TURNO,Sesi Franca,72,6,25,4,45,15,4,5,18,Joinville / AABJ ,56,9,9,11,33,11,5,4,17
02/02/2018,2017/2018,Gin. Panela de Pressão                                    ,2º TURNO,Bauru,73,9,19,8,36,18,3,2,28,Caxias do Sul,85,10,15,25,36,14,5,3,20
01/02/2018,2017/2018,Prof. Hugo Ramos                                    ,2º TURNO,Mogi,89,14,18,11,43,21,6,2,20,Vasco da Gama,80,10,19,12,31,26,9,2,18
01/02/2018,2017/2018,Arena Carioca 1                                    ,2º TURNO,Flamengo,92,8,25,18,42,31,7,1,18,Campo Mourão,69,4,20,17,27,15,7,0,20
01/02/2018,2017/2018,Poliesportivo H. Villaboim                                    ,2º TURNO,Pinheiros,80,1,26,25,44,18,5,2,17,Botafogo,77,10,17,13,28,16,9,1,26
01/02/2018,2017/2018,Arena UniBH                                    ,2º TURNO,Minas,80,9,21,11,30,27,13,2,18,Paulistano,88,17,15,7,45,25,7,5,16
31/01/2018,2017/2018,Ginásio Paulo Sarasate                                    ,2º TURNO,Basq. Cearense,78,10,18,12,36,13,14,2,21,Vitória,77,7,20,16,44,16,5,4,20
31/01/2018,2017/2018,Gin. Panela de Pressão                                    ,2º TURNO,Bauru,88,8,28,8,47,22,5,4,18,Joinville / AABJ ,41,4,11,7,30,7,2,0,19
30/01/2018,2017/2018,Ginásio Gualberto Moreira                                    ,2º TURNO,L. Sorocabana,75,5,25,10,34,19,5,1,22,Vasco da Gama,80,7,21,17,33,12,8,0,21
30/01/2018,2017/2018,Ginásio Pedrocão                                    ,2º TURNO,Sesi Franca,82,12,19,8,36,19,7,4,20,Caxias do Sul,74,8,21,8,26,17,10,5,22
27/01/2018,2017/2018,Arena Carioca 1                                    ,2º TURNO,Vasco da Gama,75,5,22,16,33,19,5,3,13,Flamengo,89,12,24,5,35,18,6,2,27
29/01/2018,2017/2018,Arena UniBH                                    ,2º TURNO,Minas,74,5,21,17,32,20,9,3,18,Campo Mourão,81,11,19,10,42,19,1,4,23
26/01/2018,2017/2018,Centreventos Cau Hansen                                    ,2º TURNO,Joinville / AABJ ,70,10,12,16,32,11,7,3,21,Caxias do Sul,76,9,15,19,32,13,11,0,22
25/01/2018,2017/2018,Gin. Poliesportivo de Cajazeiras                                    ,2º TURNO,Vitória,95,12,19,21,46,24,10,1,20,L. Sorocabana,69,5,17,20,27,14,14,4,20
23/01/2018,2017/2018,Ginásio Paulo Sarasate                                    ,2º TURNO,Basq. Cearense,83,5,29,10,38,19,4,2,14,L. Sorocabana,64,7,18,7,26,8,5,1,20
22/01/2018,2017/2018,Ginásio Belin Carolo                                    ,2º TURNO,Campo Mourão,59,7,16,6,33,16,4,1,13,Bauru,97,14,25,5,38,26,8,2,19
23/01/2018,2017/2018,Arena Carioca 1                                    ,2º TURNO,Vasco da Gama,70,9,21,1,47,19,9,4,13,Minas,54,6,12,12,37,16,10,3,15
22/01/2018,2017/2018,Prof. Hugo Ramos                                    ,2º TURNO,Mogi,84,12,18,12,38,21,7,0,17,Botafogo,70,5,22,11,34,15,9,2,22
22/01/2018,2017/2018,Gin. Antonio Prado Jr                                    ,2º TURNO,Paulistano,88,15,15,13,32,22,8,1,19,Sesi Franca,74,6,20,16,36,12,3,3,21
20/01/2018,2017/2018,Ginásio Belin Carolo                                    ,2º TURNO,Campo Mourão,60,3,19,13,40,12,8,1,24,Sesi Franca,88,11,18,19,50,13,6,1,19
20/01/2018,2017/2018,Gin. Antonio Prado Jr                                    ,2º TURNO,Paulistano,88,14,15,16,44,18,4,2,21,Bauru,79,6,19,23,33,14,6,2,20
20/01/2018,2017/2018,Ginásio Paulo Sarasate                                    ,2º TURNO,Basq. Cearense,66,8,15,12,33,16,7,5,22,Pinheiros,64,4,18,16,34,11,12,2,21
19/01/2018,2017/2018,Arena Carioca 1                                    ,1º TURNO,Flamengo,107,17,16,24,43,32,7,1,22,Botafogo,54,5,13,13,27,15,1,2,24
17/01/2018,2017/2018,Arena Carioca 1                                    ,1º TURNO,Vasco da Gama,86,10,19,18,32,20,5,0,22,Bauru,87,10,18,21,37,16,6,0,25
